fips_num,fips_str,incidents,killed,injured
22071,22071,1595,325,990
36059,36059,148,29,46
45029,45029,42,6,40
12031,12031,1153,213,614
45019,45019,422,100,182
36045,36045,17,3,4
17143,17143,420,13,137
17031,17031,5855,1165,5564
53077,53077,81,31,49
48029,48029,768,244,470
12083,12083,169,41,60
21101,21101,36,3,11
18089,18089,414,137,260
6029,6029,413,115,185
36071,36071,89,14,35
36085,36085,213,25,79
26075,26075,47,10,24
27053,27053,355,85,211
36093,36093,57,12,23
42101,42101,1671,463,1316
28075,28075,207,33,103
32003,32003,684,293,338
29095,29095,558,225,392
45007,45007,132,45,89
53061,53061,105,16,42
34021,34021,431,58,255
39061,39061,738,162,472
25017,25017,182,14,46
26147,26147,11,4,3
12099,12099,634,167,294
48451,48451,37,15,16
8041,8041,368,65,160
29215,29215,5,10,3
6059,6059,255,90,146
2090,2090,108,17,17
25009,25009,213,22,55
25027,25027,265,11,66
25023,25023,262,12,61
18039,18039,56,19,31
48167,48167,68,26,24
48113,48113,595,267,302
48201,48201,1548,663,788
19013,19013,252,12,53
6107,6107,135,50,59
25013,25013,535,42,148
18163,18163,157,14,56
6053,6053,246,68,109
55079,55079,1173,248,832
42071,42071,195,25,61
53033,53033,555,133,247
42003,42003,683,201,412
13215,13215,441,51,194
6067,6067,366,152,233
24003,24003,263,30,66
13139,13139,38,11,19
29135,29135,2,1,0
45031,45031,59,14,32
36029,36029,494,72,267
6073,6073,387,127,159
13089,13089,296,134,169
13015,13015,30,14,12
29510,29510,1012,370,760
26065,26065,117,19,67
6037,6037,1756,976,899
48257,48257,20,4,12
26159,26159,12,1,4
21059,21059,33,5,17
21111,21111,652,172,317
8123,8123,49,13,14
44007,44007,388,31,163
37081,37081,363,91,181
37191,37191,145,28,53
39023,39023,87,18,52
11001,11001,1683,243,672
20209,20209,110,64,61
42079,42079,186,26,62
33011,33011,169,12,35
47157,47157,1202,314,859
39035,39035,998,265,575
6023,6023,173,18,42
47149,47149,101,17,37
28019,28019,1,1,1
55097,55097,9,3,2
51059,51059,50,13,22
36103,36103,172,27,89
12071,12071,350,72,133
12089,12089,18,7,5
12086,12086,718,275,531
36081,36081,253,80,154
51810,51810,146,34,89
28109,28109,11,8,2
41047,41047,90,25,30
37119,37119,656,138,369
25025,25025,936,99,314
37085,37085,28,15,18
21029,21029,14,10,1
12127,12127,242,36,108
18097,18097,998,307,592
6001,6001,953,188,534
6071,6071,396,154,185
51700,51700,250,53,159
40143,40143,642,149,286
26049,26049,387,80,215
28107,28107,19,12,10
26163,26163,828,356,500
36001,36001,133,11,64
9011,9011,74,5,16
6077,6077,394,106,159
6013,6013,291,102,157
20173,20173,372,59,164
31055,31055,463,75,263
45035,45035,95,33,33
36047,36047,686,178,477
21067,21067,493,39,207
36005,36005,440,118,315
41051,41051,425,57,159
12091,12091,88,14,31
24510,24510,1836,469,1126
36061,36061,251,46,170
39151,39151,145,31,53
22033,22033,509,194,244
1097,1097,360,131,175
19061,19061,26,0,11
6113,6113,14,7,3
27123,27123,162,33,86
17089,17089,130,23,66
21141,21141,5,2,1
20037,20037,11,1,3
53041,53041,19,10,3
34017,34017,378,43,174
34003,34003,89,13,14
34001,34001,227,30,103
45051,45051,365,66,147
56009,56009,2,0,1
37063,37063,272,64,193
39155,39155,84,18,37
46099,46099,144,7,14
42125,42125,49,19,19
18175,18175,6,6,2
42039,42039,10,4,3
12103,12103,214,73,103
12035,12035,56,8,15
13285,13285,113,13,50
6047,6047,143,41,60
35005,35005,41,6,12
51760,51760,443,110,307
29189,29189,388,133,172
12081,12081,169,51,68
6007,6007,110,15,46
6019,6019,590,122,316
6065,6065,417,142,172
12095,12095,749,202,399
51710,51710,297,68,221
12063,12063,28,5,5
12105,12105,123,46,63
48177,48177,1,1,0
56011,56011,1,0,0
56007,56007,3,1,0
40109,40109,423,114,232
26161,26161,128,17,42
17197,17197,152,41,46
2198,2198,10,1,3
33017,33017,87,8,7
18141,18141,172,41,91
53063,53063,214,35,47
1047,1047,77,22,55
5125,5125,39,4,10
6041,6041,21,11,8
6103,6103,90,12,22
6039,6039,26,14,10
21179,21179,17,4,5
55105,55105,82,14,28
39165,39165,31,10,4
13259,13259,1,0,1
21227,21227,44,2,18
25005,25005,205,22,55
42007,42007,24,2,15
17167,17167,193,20,59
34013,34013,478,193,239
18003,18003,337,74,159
35015,35015,40,4,16
42037,42037,12,1,13
45043,45043,35,6,15
10003,10003,612,79,346
48005,48005,38,5,11
17119,17119,96,17,26
48215,48215,62,34,28
19155,19155,41,1,13
1101,1101,293,94,203
28143,28143,7,3,3
13275,13275,21,5,9
51550,51550,61,19,32
9001,9001,475,44,194
29077,29077,191,41,65
42085,42085,14,6,6
2290,2290,9,3,0
47037,47037,756,150,448
17201,17201,399,46,182
39099,39099,144,29,52
36013,36013,67,10,13
1123,1123,23,11,5
17077,17077,57,4,16
24031,24031,47,18,22
13153,13153,61,13,26
51153,51153,91,7,50
12009,12009,142,38,56
36067,36067,368,40,207
22017,22017,427,77,277
1053,1053,11,8,5
17121,17121,16,1,4
39049,39049,724,220,467
37045,37045,37,13,25
49035,49035,295,72,128
36111,36111,63,4,11
18035,18035,36,8,16
45045,45045,204,60,90
6111,6111,165,29,67
37067,37067,195,40,103
28047,28047,159,29,59
12069,12069,105,24,34
39017,39017,120,38,48
12057,12057,473,123,203
24033,24033,229,132,72
45091,45091,251,20,76
47093,47093,224,59,133
55025,55025,335,26,71
24047,24047,12,2,3
38101,38101,45,1,18
12073,12073,137,38,82
39003,39003,17,4,12
42021,42021,41,14,19
45013,45013,264,26,67
26099,26099,99,22,35
48245,48245,90,40,47
23019,23019,45,5,7
51041,51041,101,17,40
9005,9005,22,5,1
45079,45079,332,70,203
37129,37129,266,31,112
1073,1073,722,273,433
37057,37057,52,14,26
47009,47009,34,2,7
5069,5069,90,37,48
1033,1033,22,8,10
31109,31109,233,15,33
1089,1089,382,53,158
30093,30093,32,2,6
13121,13121,626,205,369
42045,42045,144,64,100
42011,42011,49,16,27
18019,18019,38,4,15
12011,12011,403,137,171
34015,34015,66,6,16
20045,20045,39,13,21
48139,48139,6,2,4
37007,37007,9,7,3
26081,26081,238,27,145
6099,6099,123,41,58
6061,6061,24,6,11
22097,22097,59,19,25
24005,24005,183,58,110
48027,48027,186,60,63
15003,15003,56,13,20
5119,5119,562,113,344
28049,28049,430,118,293
54033,54033,36,11,10
18177,18177,50,7,20
48409,48409,19,5,4
13051,13051,400,80,281
35001,35001,356,109,127
47165,47165,30,7,9
26121,26121,65,17,39
28087,28087,63,20,32
53011,53011,122,22,35
51730,51730,47,22,29
8077,8077,120,12,15
8055,8055,3,1,1
17113,17113,30,0,8
47189,47189,34,6,15
48141,48141,112,24,47
12001,12001,111,10,33
46103,46103,51,10,15
17019,17019,188,16,56
19057,19057,36,10,14
17091,17091,95,14,40
4013,4013,801,362,397
30031,30031,18,2,3
28083,28083,26,11,12
22105,22105,54,24,13
13115,13115,130,16,23
39095,39095,442,53,310
30043,30043,3,2,0
13095,13095,133,21,53
17043,17043,45,13,11
56025,56025,118,7,7
13067,13067,113,62,48
12021,12021,91,19,14
5045,5045,28,11,12
55059,55059,38,16,21
39153,39153,222,56,105
45075,45075,130,22,56
37021,37021,99,16,43
21235,21235,15,10,8
1081,1081,85,33,38
45087,45087,27,5,9
19153,19153,285,29,124
13021,13021,278,50,180
34007,34007,221,69,64
48459,48459,5,3,2
29175,29175,11,9,2
37161,37161,11,3,7
6075,6075,219,89,161
37027,37027,11,4,2
28011,28011,15,5,12
56021,56021,31,9,11
54011,54011,109,11,60
9003,9003,405,54,163
30111,30111,84,12,22
22045,22045,45,11,24
39025,39025,11,2,4
28045,28045,19,4,8
19163,19163,147,12,49
48441,48441,62,9,26
5033,5033,14,7,2
29027,29027,20,1,4
13077,13077,33,7,20
27163,27163,14,7,7
48453,48453,261,59,85
2020,2020,217,57,100
42077,42077,135,29,57
44003,44003,23,0,3
40031,40031,62,19,34
39013,39013,11,5,5
39113,39113,652,89,289
26055,26055,19,3,3
51790,51790,4,0,3
51143,51143,17,2,7
42073,42073,27,12,11
28077,28077,3,1,0
34019,34019,6,0,1
51650,51650,181,33,121
4019,4019,195,76,99
6087,6087,79,16,27
35049,35049,91,9,10
42131,42131,4,5,0
6085,6085,207,79,83
22111,22111,11,3,3
17163,17163,190,72,68
21117,21117,37,18,24
17115,17115,72,10,39
12117,12117,95,24,42
27047,27047,37,0,1
54039,54039,209,36,88
12023,12023,38,9,20
51740,51740,141,31,97
12033,12033,128,35,59
8101,8101,182,22,41
1001,1001,28,12,9
28043,28043,27,9,10
37093,37093,16,4,7
18017,18017,8,3,3
40135,40135,8,5,0
13295,13295,8,4,2
37167,37167,20,10,7
26077,26077,86,23,39
26021,26021,37,20,19
32510,32510,11,3,5
35055,35055,20,4,4
27095,27095,9,2,0
53035,53035,19,4,9
48061,48061,39,14,14
47065,47065,366,61,278
