,SUMLEV,REGION,DIVISION,STATE,COUNTY,county_fips,STNAME,CTYNAME,CENSUS2010POP,Gun_Incidents,Gun_Deaths,Gun_Injuries
0,40,3,6,1,0,1000,Alabama,Alabama,4779736,0,0,0
1,50,3,6,1,1,1001,Alabama,Autauga County,54571,28,12,9
2,50,3,6,1,3,1003,Alabama,Baldwin County,182265,54,14,14
3,50,3,6,1,5,1005,Alabama,Barbour County,27457,12,2,7
4,50,3,6,1,7,1007,Alabama,Bibb County,22915,1,0,1
5,50,3,6,1,9,1009,Alabama,Blount County,57322,9,7,1
6,50,3,6,1,11,1011,Alabama,Bullock County,10914,9,4,3
7,50,3,6,1,13,1013,Alabama,Butler County,20947,16,8,8
8,50,3,6,1,15,1015,Alabama,Calhoun County,118572,47,34,23
9,50,3,6,1,17,1017,Alabama,Chambers County,34215,15,5,16
10,50,3,6,1,19,1019,Alabama,Cherokee County,25989,7,7,4
11,50,3,6,1,21,1021,Alabama,Chilton County,43643,10,3,5
12,50,3,6,1,23,1023,Alabama,Choctaw County,13859,6,3,2
13,50,3,6,1,25,1025,Alabama,Clarke County,25833,2,4,1
14,50,3,6,1,27,1027,Alabama,Clay County,13932,0,0,0
15,50,3,6,1,29,1029,Alabama,Cleburne County,14972,5,0,2
16,50,3,6,1,31,1031,Alabama,Coffee County,49948,12,4,6
17,50,3,6,1,33,1033,Alabama,Colbert County,54428,23,8,11
18,50,3,6,1,35,1035,Alabama,Conecuh County,13228,1,0,0
19,50,3,6,1,37,1037,Alabama,Coosa County,11539,3,1,2
20,50,3,6,1,39,1039,Alabama,Covington County,37765,9,2,7
21,50,3,6,1,41,1041,Alabama,Crenshaw County,13906,6,2,3
22,50,3,6,1,43,1043,Alabama,Cullman County,80406,17,8,4
23,50,3,6,1,45,1045,Alabama,Dale County,50251,21,5,13
24,50,3,6,1,47,1047,Alabama,Dallas County,43820,85,25,61
25,50,3,6,1,49,1049,Alabama,DeKalb County,71109,21,7,10
26,50,3,6,1,51,1051,Alabama,Elmore County,79303,31,10,7
27,50,3,6,1,53,1053,Alabama,Escambia County,38319,12,9,5
28,50,3,6,1,55,1055,Alabama,Etowah County,104430,41,13,21
29,50,3,6,1,57,1057,Alabama,Fayette County,17241,0,0,0
30,50,3,6,1,59,1059,Alabama,Franklin County,31704,10,1,2
31,50,3,6,1,61,1061,Alabama,Geneva County,26790,10,3,7
32,50,3,6,1,63,1063,Alabama,Greene County,9045,4,2,8
33,50,3,6,1,65,1065,Alabama,Hale County,15760,3,3,1
34,50,3,6,1,67,1067,Alabama,Henry County,17302,2,0,1
35,50,3,6,1,69,1069,Alabama,Houston County,101547,54,16,30
36,50,3,6,1,71,1071,Alabama,Jackson County,53227,10,4,5
37,50,3,6,1,73,1073,Alabama,Jefferson County,658466,766,285,454
38,50,3,6,1,75,1075,Alabama,Lamar County,14564,1,1,0
39,50,3,6,1,77,1077,Alabama,Lauderdale County,92709,39,5,24
40,50,3,6,1,79,1079,Alabama,Lawrence County,34339,6,6,2
41,50,3,6,1,81,1081,Alabama,Lee County,140247,89,33,39
42,50,3,6,1,83,1083,Alabama,Limestone County,82782,47,14,19
43,50,3,6,1,85,1085,Alabama,Lowndes County,11299,5,2,2
44,50,3,6,1,87,1087,Alabama,Macon County,21452,12,8,3
45,50,3,6,1,89,1089,Alabama,Madison County,334811,417,55,174
46,50,3,6,1,91,1091,Alabama,Marengo County,21027,7,2,3
47,50,3,6,1,93,1093,Alabama,Marion County,30776,5,3,1
48,50,3,6,1,95,1095,Alabama,Marshall County,93019,26,4,11
49,50,3,6,1,97,1097,Alabama,Mobile County,412992,377,136,183
50,50,3,6,1,99,1099,Alabama,Monroe County,23068,1,0,0
51,50,3,6,1,101,1101,Alabama,Montgomery County,229363,313,102,212
52,50,3,6,1,103,1103,Alabama,Morgan County,119490,73,20,36
53,50,3,6,1,105,1105,Alabama,Perry County,10591,6,2,3
54,50,3,6,1,107,1107,Alabama,Pickens County,19746,4,3,2
55,50,3,6,1,109,1109,Alabama,Pike County,32899,22,5,11
56,50,3,6,1,111,1111,Alabama,Randolph County,22913,2,2,2
57,50,3,6,1,113,1113,Alabama,Russell County,52947,28,15,14
58,50,3,6,1,115,1115,Alabama,St. Clair County,83593,11,4,5
59,50,3,6,1,117,1117,Alabama,Shelby County,195085,41,8,14
60,50,3,6,1,119,1119,Alabama,Sumter County,13763,4,5,0
61,50,3,6,1,121,1121,Alabama,Talladega County,82291,21,13,7
62,50,3,6,1,123,1123,Alabama,Tallapoosa County,41616,24,11,6
63,50,3,6,1,125,1125,Alabama,Tuscaloosa County,194656,151,24,106
64,50,3,6,1,127,1127,Alabama,Walker County,67023,15,11,8
65,50,3,6,1,129,1129,Alabama,Washington County,17581,5,3,2
66,50,3,6,1,131,1131,Alabama,Wilcox County,11670,5,3,2
67,50,3,6,1,133,1133,Alabama,Winston County,24484,0,0,0
68,40,4,9,2,0,2000,Alaska,Alaska,710231,0,0,0
69,50,4,9,2,13,2013,Alaska,Aleutians East Borough,3141,0,0,0
70,50,4,9,2,16,2016,Alaska,Aleutians West Census Area,5561,0,0,0
71,50,4,9,2,20,2020,Alaska,Anchorage Municipality,291826,229,58,102
72,50,4,9,2,50,2050,Alaska,Bethel Census Area,17013,18,7,6
73,50,4,9,2,60,2060,Alaska,Bristol Bay Borough,997,0,0,0
74,50,4,9,2,68,2068,Alaska,Denali Borough,1826,3,1,0
75,50,4,9,2,70,2070,Alaska,Dillingham Census Area,4847,8,3,0
76,50,4,9,2,90,2090,Alaska,Fairbanks North Star Borough,97581,116,17,18
77,50,4,9,2,100,2100,Alaska,Haines Borough,2508,3,0,2
78,50,4,9,2,105,2105,Alaska,Hoonah-Angoon Census Area,2150,2,0,0
79,50,4,9,2,110,2110,Alaska,Juneau City and Borough,31275,39,2,2
80,50,4,9,2,122,2122,Alaska,Kenai Peninsula Borough,55400,31,7,5
81,50,4,9,2,130,2130,Alaska,Ketchikan Gateway Borough,13477,7,1,0
82,50,4,9,2,150,2150,Alaska,Kodiak Island Borough,13592,9,2,0
83,50,4,9,2,158,2158,Alaska,Kusilvak Census Area,7459,0,0,0
84,50,4,9,2,164,2164,Alaska,Lake and Peninsula Borough,1631,2,1,0
85,50,4,9,2,170,2170,Alaska,Matanuska-Susitna Borough,88995,68,12,17
86,50,4,9,2,180,2180,Alaska,Nome Census Area,9492,7,1,2
87,50,4,9,2,185,2185,Alaska,North Slope Borough,9430,4,3,1
88,50,4,9,2,188,2188,Alaska,Northwest Arctic Borough,7523,6,2,0
89,50,4,9,2,195,2195,Alaska,Petersburg Borough,3815,2,0,0
90,50,4,9,2,198,2198,Alaska,Prince of Wales-Hyder Census Area,5559,10,1,3
91,50,4,9,2,220,2220,Alaska,Sitka City and Borough,8881,1,0,1
92,50,4,9,2,230,2230,Alaska,Skagway Municipality,968,0,0,0
93,50,4,9,2,240,2240,Alaska,Southeast Fairbanks Census Area,7029,7,1,1
94,50,4,9,2,261,2261,Alaska,Valdez-Cordova Census Area,9636,4,1,0
95,50,4,9,2,275,2275,Alaska,Wrangell City and Borough,2369,0,0,0
96,50,4,9,2,282,2282,Alaska,Yakutat City and Borough,662,0,0,0
97,50,4,9,2,290,2290,Alaska,Yukon-Koyukuk Census Area,5588,9,3,0
98,40,4,8,4,0,4000,Arizona,Arizona,6392017,0,0,0
99,50,4,8,4,1,4001,Arizona,Apache County,71518,6,6,3
100,50,4,8,4,3,4003,Arizona,Cochise County,131346,25,6,9
101,50,4,8,4,5,4005,Arizona,Coconino County,134421,27,11,8
102,50,4,8,4,7,4007,Arizona,Gila County,53597,5,3,0
103,50,4,8,4,9,4009,Arizona,Graham County,37220,6,1,2
104,50,4,8,4,11,4011,Arizona,Greenlee County,8437,1,1,2
105,50,4,8,4,12,4012,Arizona,La Paz County,20489,4,4,1
106,50,4,8,4,13,4013,Arizona,Maricopa County,3817117,853,386,416
107,50,4,8,4,15,4015,Arizona,Mohave County,200186,48,18,24
108,50,4,8,4,17,4017,Arizona,Navajo County,107449,12,8,7
109,50,4,8,4,19,4019,Arizona,Pima County,980263,208,80,102
110,50,4,8,4,21,4021,Arizona,Pinal County,375770,41,27,18
111,50,4,8,4,23,4023,Arizona,Santa Cruz County,47420,3,0,2
112,50,4,8,4,25,4025,Arizona,Yavapai County,211033,27,14,9
113,50,4,8,4,27,4027,Arizona,Yuma County,195751,32,10,16
114,40,3,7,5,0,5000,Arkansas,Arkansas,2915918,0,0,0
115,50,3,7,5,1,5001,Arkansas,Arkansas County,19019,3,2,1
116,50,3,7,5,3,5003,Arkansas,Ashley County,21853,4,1,1
117,50,3,7,5,5,5005,Arkansas,Baxter County,41513,15,3,4
118,50,3,7,5,7,5007,Arkansas,Benton County,221339,39,4,8
119,50,3,7,5,9,5009,Arkansas,Boone County,36903,4,4,1
120,50,3,7,5,11,5011,Arkansas,Bradley County,11508,2,0,0
121,50,3,7,5,13,5013,Arkansas,Calhoun County,5368,2,2,1
122,50,3,7,5,15,5015,Arkansas,Carroll County,27446,3,3,0
