fips_num,fips_str,incidents,killed,injured
6037,06037,71,51,51
39093,39093,17,2,9
8005,08005,5,6,2
37081,37081,23,3,13
40143,40143,15,11,13
35001,35001,10,6,4
22071,22071,82,11,66
6013,06013,6,2,7
24510,24510,91,31,51
47065,47065,19,6,19
29510,29510,29,23,23
22101,22101,1,2,3
11001,11001,113,25,37
39023,39023,4,1,5
47157,47157,38,11,36
6115,06115,1,1,3
17031,17031,109,32,149
6095,06095,8,7,16
10003,10003,32,6,19
49035,49035,7,5,1
6059,06059,7,5,6
26081,26081,13,0,14
13021,13021,11,0,18
22017,22017,15,3,12
13071,13071,5,4,4
26145,26145,5,0,7
6047,06047,7,7,7
18097,18097,44,21,28
28049,28049,21,8,23
29095,29095,23,9,34
6073,06073,22,7,9
36043,36043,1,6,2
6099,06099,6,3,7
6067,06067,13,10,10
6077,06077,7,6,12
12099,12099,25,11,31
36047,36047,38,11,54
53033,53033,22,12,18
45047,45047,2,6,4
36005,36005,19,6,12
42101,42101,103,29,91
4013,04013,34,18,24
21067,21067,27,2,15
39153,39153,5,8,3
22051,22051,21,9,18
17171,17171,1,6,1
12083,12083,4,1,6
37119,37119,16,4,14
42045,42045,6,5,8
47113,47113,9,4,7
34013,34013,24,9,25
37101,37101,2,1,5
6081,06081,7,1,5
42021,42021,4,1,6
18005,18005,1,5,0
34017,34017,15,1,18
4021,04021,5,2,7
39061,39061,36,11,18
34005,34005,14,1,6
26163,26163,33,12,48
36081,36081,11,5,9
51111,51111,1,0,4
47057,47057,1,2,2
6029,06029,13,4,14
26049,26049,22,3,12
51650,51650,7,2,4
13121,13121,12,6,12
55079,55079,46,3,28
51810,51810,7,1,13
13285,13285,2,0,8
42133,42133,5,4,4
44007,44007,19,3,15
47037,47037,29,3,21
48201,48201,90,29,62
51710,51710,5,3,8
37147,37147,18,0,11
6107,06107,6,4,3
45019,45019,19,6,9
8001,08001,11,4,5
36059,36059,3,0,2
48439,48439,25,9,10
26125,26125,7,2,8
1077,01077,1,0,4
28075,28075,11,0,6
12011,12011,26,5,14
17201,17201,11,2,5
6075,06075,10,2,17
21087,21087,1,2,2
39099,39099,1,0,4
40109,40109,10,8,9
34021,34021,18,6,16
20173,20173,12,4,15
6001,06001,32,13,26
6039,06039,1,0,4
9003,09003,16,2,8
20177,20177,5,4,8
54033,54033,2,5,0
12086,12086,41,20,38
48113,48113,43,18,26
53077,53077,7,4,11
35025,35025,2,0,4
6053,06053,5,4,6
42089,42089,3,5,4
51740,51740,1,1,4
34011,34011,6,1,4
39095,39095,21,0,9
45025,45025,2,2,4
45033,45033,1,1,3
27053,27053,18,6,16
12125,12125,1,4,1
18089,18089,9,2,7
9001,09001,12,1,7
36061,36061,9,2,5
47035,47035,1,4,0
37111,37111,1,0,4
8041,08041,12,4,5
13135,13135,8,7,4
26065,26065,10,1,10
32003,32003,17,6,11
12097,12097,8,1,8
48349,48349,1,5,0
26121,26121,3,3,7
54011,54011,5,2,7
37001,37001,4,0,6
39119,39119,2,1,4
31055,31055,8,0,7
18003,18003,23,4,11
6019,06019,28,7,35
36029,36029,10,3,5
48277,48277,2,6,0
42079,42079,12,1,0
42043,42043,6,3,9
42003,42003,20,15,10
9009,09009,19,5,13
48245,48245,5,5,5
6061,06061,1,0,4
37125,37125,2,1,4
21093,21093,2,1,3
6065,06065,19,8,8
12031,12031,40,11,30
39151,39151,1,1,3
36055,36055,18,4,16
13185,13185,3,0,4
37097,37097,2,0,4
37045,37045,2,1,4
36103,36103,9,2,5
34039,34039,2,1,1
22057,22057,3,3,4
22103,22103,3,4,6
1101,01101,9,5,10
34003,34003,8,1,1
29077,29077,11,1,4
13215,13215,21,3,7
36067,36067,19,2,9
51153,51153,3,0,5
8077,08077,1,1,0
1089,01089,45,5,15
34007,34007,14,1,5
49053,49053,2,0,1
17145,17145,1,0,0
8043,08043,1,0,1
48303,48303,11,1,7
31111,31111,3,0,0
25009,25009,7,2,4
51700,51700,12,2,6
12113,12113,1,0,0
12071,12071,15,3,4
1125,01125,5,2,4
28085,28085,1,1,0
45041,45041,1,0,1
55105,55105,4,0,3
1041,01041,1,1,0
15007,15007,2,1,0
12095,12095,50,12,16
21097,21097,1,0,1
24033,24033,14,4,3
54055,54055,1,0,0
25013,25013,25,0,3
13153,13153,4,2,0
48233,48233,1,1,0
33011,33011,7,0,3
12127,12127,9,2,5
37061,37061,2,1,1
4023,04023,1,0,0
12057,12057,23,1,9
37183,37183,12,5,6
21179,21179,1,0,0
53061,53061,2,0,1
40031,40031,4,2,2
17001,17001,1,0,2
34027,34027,2,0,2
28051,28051,1,0,0
36027,36027,7,0,3
28081,28081,2,0,1
51610,51610,1,0,0
45051,45051,14,2,7
21111,21111,29,1,10
37067,37067,3,2,0
40111,40111,1,0,2
1055,01055,1,0,1
19187,19187,1,0,0
13115,13115,2,0,3
2290,02290,1,0,0
5119,05119,31,5,13
4003,04003,3,1,0
8031,08031,11,4,2
9007,09007,1,0,1
28101,28101,1,1,0
1073,01073,14,5,8
39049,39049,44,9,22
24005,24005,8,4,5
13089,13089,4,2,5
20149,20149,1,1,0
36085,36085,7,0,4
48247,48247,1,0,1
47053,47053,3,0,1
51550,51550,3,1,1
39035,39035,32,13,12
48029,48029,15,5,10
51167,51167,2,2,0
48355,48355,24,4,7
48027,48027,10,4,1
36063,36063,10,0,0
42017,42017,2,0,1
22063,22063,3,3,0
40027,40027,4,2,0
51760,51760,16,2,9
17167,17167,11,1,2
5069,05069,5,2,4
27109,27109,1,0,0
2020,02020,6,4,1
21131,21131,1,0,1
53007,53007,1,0,1
21063,21063,1,0,1
12103,12103,11,6,5
19103,19103,2,0,1
37057,37057,1,1,1
37085,37085,2,0,2
22083,22083,1,0,1
39113,39113,38,5,12
54039,54039,7,1,3
37047,37047,1,1,0
22033,22033,18,3,10
6085,06085,8,3,2
16027,16027,2,0,0
28071,28071,2,0,0
42091,42091,3,1,0
24003,24003,24,3,5
47075,47075,1,0,0
29019,29019,11,2,7
12009,12009,6,1,5
12091,12091,8,1,5
48491,48491,2,0,1
48453,48453,16,6,0
45091,45091,23,2,7
1103,01103,7,5,0
37063,37063,15,4,5
45067,45067,1,0,1
42071,42071,9,0,3
41051,41051,13,1,9
25027,25027,11,1,1
45079,45079,17,6,13
18141,18141,9,2,6
1081,01081,2,0,1
48339,48339,3,2,1
34025,34025,4,0,2
13067,13067,4,1,1
56021,56021,1,0,1
10001,10001,10,0,3
47093,47093,7,3,4
21047,21047,1,0,0
48375,48375,3,0,1
6007,06007,7,0,2
48167,48167,3,0,2
48141,48141,5,0,1
12079,12079,1,0,0
23005,23005,5,0,3
4019,04019,6,1,0
28087,28087,1,0,1
28149,28149,5,1,4
20209,20209,4,1,4
8069,08069,2,1,1
26077,26077,2,0,2
40021,40021,1,0,1
42051,42051,4,1,2
21151,21151,2,0,0
48325,48325,1,1,0
48471,48471,2,0,2
19153,19153,23,0,14
54005,54005,1,2,0
28001,28001,2,1,0
22097,22097,5,3,1
28035,28035,4,1,2
41041,41041,2,2,1
38017,38017,4,0,0
28095,28095,2,0,2
32031,32031,5,4,1
17021,17021,2,1,0
28067,28067,4,2,1
28017,28017,2,0,2
53063,53063,8,2,3
17115,17115,2,0,1
53071,53071,1,1,0
54045,54045,2,1,1
53021,53021,2,1,1
41005,41005,4,0,2
35049,35049,2,0,0
36083,36083,5,0,3
51620,51620,2,0,0
30111,30111,3,2,0
19193,19193,4,4,3
37021,37021,7,1,1
27123,27123,5,2,1
51800,51800,3,0,0
18019,18019,1,0,0
47013,47013,2,0,1
45015,45015,1,0,0
26129,26129,1,1,0
26111,26111,1,2,0
42081,42081,2,0,1
22073,22073,8,1,2
37017,37017,6,1,2
19113,19113,4,3,1
55073,55073,4,1,0
12131,12131,2,0,1
18127,18127,4,0,1
28151,28151,2,0,3
5051,05051,1,0,0
48479,48479,4,1,0
42077,42077,6,1,4
17195,17195,1,2,2
6089,06089,4,1,2
48041,48041,6,0,0
47073,47073,2,0,2
22085,22085,1,0,0
21213,21213,1,0,0
22045,22045,5,0,2
47149,47149,6,4,0
42095,42095,7,0,2
20103,20103,1,1,0
34031,34031,9,2,7
34035,34035,6,0,3
44003,44003,1,0,0
34023,34023,4,0,1
39081,39081,1,0,1
45075,45075,5,2,5
41039,41039,3,1,0
8059,08059,3,5,1
21019,21019,1,0,0
25023,25023,7,0,1
48025,48025,1,1,0
12001,12001,4,0,0
45013,45013,12,3,3
24027,24027,4,3,2
19013,19013,7,0,3
42055,42055,4,1,0
36093,36093,3,0,2
13217,13217,1,0,1
8101,08101,4,1,2
35047,35047,1,0,1
36069,36069,1,0,2
34001,34001,15,2,12
51095,51095,1,0,1
24043,24043,4,0,0
51087,51087,8,0,1
12109,12109,2,0,1
6071,06071,14,7,8
1119,01119,1,1,0
48361,48361,1,0,1
9015,09015,2,0,1
29001,29001,1,2,0
13063,13063,14,1,3
38015,38015,2,0,0
16001,16001,3,0,0
28083,28083,1,0,0
13051,13051,12,2,7
17197,17197,2,0,1
37127,37127,5,0,7
37133,37133,1,1,0
36001,36001,13,1,5
55011,55011,1,0,0
42041,42041,2,0,1
18057,18057,2,0,0
37083,37083,2,0,1
37019,37019,2,1,1
53005,53005,3,0,0
6083,06083,3,0,1
12015,12015,1,0,0
53053,53053,5,1,2
25005,25005,11,5,1
12105,12105,4,1,2
12017,12017,2,2,0
1113,01113,2,0,2
42049,42049,3,2,6
29165,29165,2,0,0
23011,23011,3,0,2
12115,12115,6,2,1
13095,13095,3,0,2
29217,29217,1,0,0
