,SUMLEV,REGION,DIVISION,STATE,COUNTY,county_fips,STNAME,CTYNAME,CENSUS2010POP,Gun_Incidents,Gun_Deaths,Gun_Injuries,incidents_per_million_pop,deaths_per_million_pop,injuries_per_million_pop
1,50,3,6,1,1,1001,Alabama,Autauga County,54571,0,0,0,0.00,0.00,0.00
2,50,3,6,1,3,1003,Alabama,Baldwin County,182265,1,1,1,5.49,5.49,5.49
3,50,3,6,1,5,1005,Alabama,Barbour County,27457,1,1,0,36.42,36.42,0.00
4,50,3,6,1,7,1007,Alabama,Bibb County,22915,0,0,0,0.00,0.00,0.00
5,50,3,6,1,9,1009,Alabama,Blount County,57322,2,1,0,34.89,17.45,0.00
6,50,3,6,1,11,1011,Alabama,Bullock County,10914,0,0,0,0.00,0.00,0.00
7,50,3,6,1,13,1013,Alabama,Butler County,20947,0,0,0,0.00,0.00,0.00
8,50,3,6,1,15,1015,Alabama,Calhoun County,118572,2,2,2,16.87,16.87,16.87
9,50,3,6,1,17,1017,Alabama,Chambers County,34215,0,0,0,0.00,0.00,0.00
10,50,3,6,1,19,1019,Alabama,Cherokee County,25989,0,0,0,0.00,0.00,0.00
11,50,3,6,1,21,1021,Alabama,Chilton County,43643,1,0,1,22.91,0.00,22.91
12,50,3,6,1,23,1023,Alabama,Choctaw County,13859,0,0,0,0.00,0.00,0.00
13,50,3,6,1,25,1025,Alabama,Clarke County,25833,0,0,0,0.00,0.00,0.00
14,50,3,6,1,27,1027,Alabama,Clay County,13932,0,0,0,0.00,0.00,0.00
15,50,3,6,1,29,1029,Alabama,Cleburne County,14972,0,0,0,0.00,0.00,0.00
16,50,3,6,1,31,1031,Alabama,Coffee County,49948,0,0,0,0.00,0.00,0.00
17,50,3,6,1,33,1033,Alabama,Colbert County,54428,2,0,0,36.75,0.00,0.00
18,50,3,6,1,35,1035,Alabama,Conecuh County,13228,0,0,0,0.00,0.00,0.00
19,50,3,6,1,37,1037,Alabama,Coosa County,11539,0,0,0,0.00,0.00,0.00
20,50,3,6,1,39,1039,Alabama,Covington County,37765,1,0,0,26.48,0.00,0.00
21,50,3,6,1,41,1041,Alabama,Crenshaw County,13906,1,1,0,71.91,71.91,0.00
22,50,3,6,1,43,1043,Alabama,Cullman County,80406,1,1,0,12.44,12.44,0.00
23,50,3,6,1,45,1045,Alabama,Dale County,50251,0,0,0,0.00,0.00,0.00
24,50,3,6,1,47,1047,Alabama,Dallas County,43820,5,4,0,114.10,91.28,0.00
25,50,3,6,1,49,1049,Alabama,DeKalb County,71109,1,1,0,14.06,14.06,0.00
26,50,3,6,1,51,1051,Alabama,Elmore County,79303,2,0,0,25.22,0.00,0.00
27,50,3,6,1,53,1053,Alabama,Escambia County,38319,0,0,0,0.00,0.00,0.00
28,50,3,6,1,55,1055,Alabama,Etowah County,104430,1,0,1,9.58,0.00,9.58
29,50,3,6,1,57,1057,Alabama,Fayette County,17241,0,0,0,0.00,0.00,0.00
30,50,3,6,1,59,1059,Alabama,Franklin County,31704,0,0,0,0.00,0.00,0.00
31,50,3,6,1,61,1061,Alabama,Geneva County,26790,0,0,0,0.00,0.00,0.00
32,50,3,6,1,63,1063,Alabama,Greene County,9045,0,0,0,0.00,0.00,0.00
33,50,3,6,1,65,1065,Alabama,Hale County,15760,0,0,0,0.00,0.00,0.00
34,50,3,6,1,67,1067,Alabama,Henry County,17302,0,0,0,0.00,0.00,0.00
35,50,3,6,1,69,1069,Alabama,Houston County,101547,0,0,0,0.00,0.00,0.00
36,50,3,6,1,71,1071,Alabama,Jackson County,53227,0,0,0,0.00,0.00,0.00
37,50,3,6,1,73,1073,Alabama,Jefferson County,658466,14,5,8,21.26,7.59,12.15
38,50,3,6,1,75,1075,Alabama,Lamar County,14564,0,0,0,0.00,0.00,0.00
39,50,3,6,1,77,1077,Alabama,Lauderdale County,92709,1,0,4,10.79,0.00,43.15
40,50,3,6,1,79,1079,Alabama,Lawrence County,34339,0,0,0,0.00,0.00,0.00
41,50,3,6,1,81,1081,Alabama,Lee County,140247,2,0,1,14.26,0.00,7.13
42,50,3,6,1,83,1083,Alabama,Limestone County,82782,3,1,3,36.24,12.08,36.24
43,50,3,6,1,85,1085,Alabama,Lowndes County,11299,0,0,0,0.00,0.00,0.00
44,50,3,6,1,87,1087,Alabama,Macon County,21452,0,0,0,0.00,0.00,0.00
45,50,3,6,1,89,1089,Alabama,Madison County,334811,45,5,15,134.40,14.93,44.80
46,50,3,6,1,91,1091,Alabama,Marengo County,21027,2,0,1,95.12,0.00,47.56
47,50,3,6,1,93,1093,Alabama,Marion County,30776,1,0,0,32.49,0.00,0.00
48,50,3,6,1,95,1095,Alabama,Marshall County,93019,2,1,0,21.50,10.75,0.00
49,50,3,6,1,97,1097,Alabama,Mobile County,412992,18,2,4,43.58,4.84,9.69
50,50,3,6,1,99,1099,Alabama,Monroe County,23068,0,0,0,0.00,0.00,0.00
51,50,3,6,1,101,1101,Alabama,Montgomery County,229363,9,5,10,39.24,21.80,43.60
52,50,3,6,1,103,1103,Alabama,Morgan County,119490,7,5,0,58.58,41.84,0.00
53,50,3,6,1,105,1105,Alabama,Perry County,10591,1,0,1,94.42,0.00,94.42
54,50,3,6,1,107,1107,Alabama,Pickens County,19746,0,0,0,0.00,0.00,0.00
55,50,3,6,1,109,1109,Alabama,Pike County,32899,1,0,2,30.40,0.00,60.79
56,50,3,6,1,111,1111,Alabama,Randolph County,22913,0,0,0,0.00,0.00,0.00
57,50,3,6,1,113,1113,Alabama,Russell County,52947,2,0,2,37.77,0.00,37.77
58,50,3,6,1,115,1115,Alabama,St. Clair County,83593,0,0,0,0.00,0.00,0.00
59,50,3,6,1,117,1117,Alabama,Shelby County,195085,2,1,2,10.25,5.13,10.25
60,50,3,6,1,119,1119,Alabama,Sumter County,13763,1,1,0,72.66,72.66,0.00
61,50,3,6,1,121,1121,Alabama,Talladega County,82291,1,0,1,12.15,0.00,12.15
62,50,3,6,1,123,1123,Alabama,Tallapoosa County,41616,1,1,0,24.03,24.03,0.00
63,50,3,6,1,125,1125,Alabama,Tuscaloosa County,194656,5,2,4,25.69,10.27,20.55
64,50,3,6,1,127,1127,Alabama,Walker County,67023,1,1,0,14.92,14.92,0.00
65,50,3,6,1,129,1129,Alabama,Washington County,17581,0,0,0,0.00,0.00,0.00
66,50,3,6,1,131,1131,Alabama,Wilcox County,11670,0,0,0,0.00,0.00,0.00
67,50,3,6,1,133,1133,Alabama,Winston County,24484,0,0,0,0.00,0.00,0.00
69,50,4,9,2,13,2013,Alaska,Aleutians East Borough,3141,0,0,0,0.00,0.00,0.00
70,50,4,9,2,16,2016,Alaska,Aleutians West Census Area,5561,0,0,0,0.00,0.00,0.00
71,50,4,9,2,20,2020,Alaska,Anchorage Municipality,291826,6,4,1,20.56,13.71,3.43
72,50,4,9,2,50,2050,Alaska,Bethel Census Area,17013,0,0,0,0.00,0.00,0.00
73,50,4,9,2,60,2060,Alaska,Bristol Bay Borough,997,0,0,0,0.00,0.00,0.00
74,50,4,9,2,68,2068,Alaska,Denali Borough,1826,0,0,0,0.00,0.00,0.00
75,50,4,9,2,70,2070,Alaska,Dillingham Census Area,4847,0,0,0,0.00,0.00,0.00
76,50,4,9,2,90,2090,Alaska,Fairbanks North Star Borough,97581,2,0,1,20.50,0.00,10.25
77,50,4,9,2,100,2100,Alaska,Haines Borough,2508,0,0,0,0.00,0.00,0.00
78,50,4,9,2,105,2105,Alaska,Hoonah-Angoon Census Area,2150,0,0,0,0.00,0.00,0.00
79,50,4,9,2,110,2110,Alaska,Juneau City and Borough,31275,0,0,0,0.00,0.00,0.00
80,50,4,9,2,122,2122,Alaska,Kenai Peninsula Borough,55400,0,0,0,0.00,0.00,0.00
81,50,4,9,2,130,2130,Alaska,Ketchikan Gateway Borough,13477,0,0,0,0.00,0.00,0.00
82,50,4,9,2,150,2150,Alaska,Kodiak Island Borough,13592,0,0,0,0.00,0.00,0.00
83,50,4,9,2,158,2158,Alaska,Kusilvak Census Area,7459,0,0,0,0.00,0.00,0.00
84,50,4,9,2,164,2164,Alaska,Lake and Peninsula Borough,1631,0,0,0,0.00,0.00,0.00
85,50,4,9,2,170,2170,Alaska,Matanuska-Susitna Borough,88995,0,0,0,0.00,0.00,0.00
86,50,4,9,2,180,2180,Alaska,Nome Census Area,9492,0,0,0,0.00,0.00,0.00
87,50,4,9,2,185,2185,Alaska,North Slope Borough,9430,0,0,0,0.00,0.00,0.00
88,50,4,9,2,188,2188,Alaska,Northwest Arctic Borough,7523,0,0,0,0.00,0.00,0.00
89,50,4,9,2,195,2195,Alaska,Petersburg Borough,3815,0,0,0,0.00,0.00,0.00
90,50,4,9,2,198,2198,Alaska,Prince of Wales-Hyder Census Area,5559,0,0,0,0.00,0.00,0.00
91,50,4,9,2,220,2220,Alaska,Sitka City and Borough,8881,0,0,0,0.00,0.00,0.00
92,50,4,9,2,230,2230,Alaska,Skagway Municipality,968,0,0,0,0.00,0.00,0.00
93,50,4,9,2,240,2240,Alaska,Southeast Fairbanks Census Area,7029,0,0,0,0.00,0.00,0.00
94,50,4,9,2,261,2261,Alaska,Valdez-Cordova Census Area,9636,0,0,0,0.00,0.00,0.00
95,50,4,9,2,275,2275,Alaska,Wrangell City and Borough,2369,0,0,0,0.00,0.00,0.00
96,50,4,9,2,282,2282,Alaska,Yakutat City and Borough,662,0,0,0,0.00,0.00,0.00
97,50,4,9,2,290,2290,Alaska,Yukon-Koyukuk Census Area,5588,1,0,0,178.95,0.00,0.00
99,50,4,8,4,1,4001,Arizona,Apache County,71518,0,0,0,0.00,0.00,0.00
100,50,4,8,4,3,4003,Arizona,Cochise County,131346,3,1,0,22.84,7.61,0.00
101,50,4,8,4,5,4005,Arizona,Coconino County,134421,0,0,0,0.00,0.00,0.00
102,50,4,8,4,7,4007,Arizona,Gila County,53597,0,0,0,0.00,0.00,0.00
103,50,4,8,4,9,4009,Arizona,Graham County,37220,0,0,0,0.00,0.00,0.00
104,50,4,8,4,11,4011,Arizona,Greenlee County,8437,0,0,0,0.00,0.00,0.00
105,50,4,8,4,12,4012,Arizona,La Paz County,20489,0,0,0,0.00,0.00,0.00
106,50,4,8,4,13,4013,Arizona,Maricopa County,3817117,34,18,24,8.91,4.72,6.29
107,50,4,8,4,15,4015,Arizona,Mohave County,200186,2,1,1,9.99,5.00,5.00
108,50,4,8,4,17,4017,Arizona,Navajo County,107449,0,0,0,0.00,0.00,0.00
109,50,4,8,4,19,4019,Arizona,Pima County,980263,6,1,0,6.12,1.02,0.00
110,50,4,8,4,21,4021,Arizona,Pinal County,375770,5,2,7,13.31,5.32,18.63
111,50,4,8,4,23,4023,Arizona,Santa Cruz County,47420,1,0,0,21.09,0.00,0.00
112,50,4,8,4,25,4025,Arizona,Yavapai County,211033,1,0,1,4.74,0.00,4.74
113,50,4,8,4,27,4027,Arizona,Yuma County,195751,1,0,1,5.11,0.00,5.11
115,50,3,7,5,1,5001,Arkansas,Arkansas County,19019,0,0,0,0.00,0.00,0.00
116,50,3,7,5,3,5003,Arkansas,Ashley County,21853,0,0,0,0.00,0.00,0.00
117,50,3,7,5,5,5005,Arkansas,Baxter County,41513,0,0,0,0.00,0.00,0.00
118,50,3,7,5,7,5007,Arkansas,Benton County,221339,0,0,0,0.00,0.00,0.00
119,50,3,7,5,9,5009,Arkansas,Boone County,36903,0,0,0,0.00,0.00,0.00
120,50,3,7,5,11,5011,Arkansas,Bradley County,11508,0,0,0,0.00,0.00,0.00
121,50,3,7,5,13,5013,Arkansas,Calhoun County,5368,0,0,0,0.00,0.00,0.00
122,50,3,7,5,15,5015,Arkansas,Carroll County,27446,0,0,0,0.00,0.00,0.00
123,50,3,7,5,17,5017,Arkansas,Chicot County,11800,0,0,0,0.00,0.00,0.00
124,50,3,7,5,19,5019,Arkansas,Clark County,22995,0,0,0,0.00,0.00,0.00
125,50,3,7,5,21,5021,Arkansas,Clay County,16083,0,0,0,0.00,0.00,0.00
126,50,3,7,5,23,5023,Arkansas,Cleburne County,25970,0,0,0,0.00,0.00,0.00
127,50,3,7,5,25,5025,Arkansas,Cleveland County,8689,0,0,0,0.00,0.00,0.00
128,50,3,7,5,27,5027,Arkansas,Columbia County,24552,0,0,0,0.00,0.00,0.00
129,50,3,7,5,29,5029,Arkansas,Conway County,21273,0,0,0,0.00,0.00,0.00
130,50,3,7,5,31,5031,Arkansas,Craighead County,96443,2,1,2,20.74,10.37,20.74
131,50,3,7,5,33,5033,Arkansas,Crawford County,61948,0,0,0,0.00,0.00,0.00
132,50,3,7,5,35,5035,Arkansas,Crittenden County,50902,0,0,0,0.00,0.00,0.00
133,50,3,7,5,37,5037,Arkansas,Cross County,17870,0,0,0,0.00,0.00,0.00
134,50,3,7,5,39,5039,Arkansas,Dallas County,8116,0,0,0,0.00,0.00,0.00
135,50,3,7,5,41,5041,Arkansas,Desha County,13008,0,0,0,0.00,0.00,0.00
136,50,3,7,5,43,5043,Arkansas,Drew County,18509,0,0,0,0.00,0.00,0.00
137,50,3,7,5,45,5045,Arkansas,Faulkner County,113237,1,0,1,8.83,0.00,8.83
138,50,3,7,5,47,5047,Arkansas,Franklin County,18125,0,0,0,0.00,0.00,0.00
139,50,3,7,5,49,5049,Arkansas,Fulton County,12245,0,0,0,0.00,0.00,0.00
140,50,3,7,5,51,5051,Arkansas,Garland County,96024,1,0,0,10.41,0.00,0.00
141,50,3,7,5,53,5053,Arkansas,Grant County,17853,0,0,0,0.00,0.00,0.00
142,50,3,7,5,55,5055,Arkansas,Greene County,42090,3,2,1,71.28,47.52,23.76
