ind,SUMLEV,REGION,DIVISION,STATE,COUNTY,county_fips,STNAME,CTYNAME,CENSUS2010POP,Gun_Incidents,Gun_Deaths,Gun_Injuries,incidents_per_million_pop,deaths_per_million_pop,injuries_per_million_pop
0,40,3,6,1,0,1000,Alabama,Alabama,4779736,0,0,0,0.00,0.00,0.00
1,50,3,6,1,1,1001,Alabama,Autauga County,54571,28,12,9,513.09,219.90,164.92
2,50,3,6,1,3,1003,Alabama,Baldwin County,182265,54,14,14,296.27,76.81,76.81
3,50,3,6,1,5,1005,Alabama,Barbour County,27457,12,2,7,437.05,72.84,254.94
4,50,3,6,1,7,1007,Alabama,Bibb County,22915,1,0,1,43.64,0.00,43.64
5,50,3,6,1,9,1009,Alabama,Blount County,57322,9,7,1,157.01,122.12,17.45
6,50,3,6,1,11,1011,Alabama,Bullock County,10914,9,4,3,824.63,366.50,274.88
7,50,3,6,1,13,1013,Alabama,Butler County,20947,16,8,8,763.83,381.92,381.92
8,50,3,6,1,15,1015,Alabama,Calhoun County,118572,47,34,23,396.38,286.75,193.97
9,50,3,6,1,17,1017,Alabama,Chambers County,34215,15,5,16,438.40,146.13,467.63
10,50,3,6,1,19,1019,Alabama,Cherokee County,25989,7,7,4,269.34,269.34,153.91
11,50,3,6,1,21,1021,Alabama,Chilton County,43643,10,3,5,229.13,68.74,114.57
12,50,3,6,1,23,1023,Alabama,Choctaw County,13859,6,3,2,432.93,216.47,144.31
13,50,3,6,1,25,1025,Alabama,Clarke County,25833,2,4,1,77.42,154.84,38.71
14,50,3,6,1,27,1027,Alabama,Clay County,13932,0,0,0,0.00,0.00,0.00
15,50,3,6,1,29,1029,Alabama,Cleburne County,14972,5,0,2,333.96,0.00,133.58
16,50,3,6,1,31,1031,Alabama,Coffee County,49948,12,4,6,240.25,80.08,120.12
17,50,3,6,1,33,1033,Alabama,Colbert County,54428,23,8,11,422.58,146.98,202.10
18,50,3,6,1,35,1035,Alabama,Conecuh County,13228,1,0,0,75.60,0.00,0.00
19,50,3,6,1,37,1037,Alabama,Coosa County,11539,3,1,2,259.99,86.66,173.33
20,50,3,6,1,39,1039,Alabama,Covington County,37765,9,2,7,238.32,52.96,185.36
