ind,SUMLEV,REGION,DIVISION,STATE,COUNTY,county_fips,STNAME,CTYNAME,CENSUS2010POP,Gun_Incidents,Gun_Deaths,Gun_Injuries,incidents_per_million_pop,deaths_per_million_pop,injuries_per_million_pop
0,40,3,6,1,0,1000,Alabama,Alabama,4779736,0,0,0,0.00,0.00,0.00
1,50,3,6,1,1,1001,Alabama,Autauga County,54571,40,14,14,732.99,256.55,256.55
2,50,3,6,1,3,1003,Alabama,Baldwin County,182265,86,27,22,471.84,148.14,120.70
3,50,3,6,1,5,1005,Alabama,Barbour County,27457,21,7,14,764.83,254.94,509.89
4,50,3,6,1,7,1007,Alabama,Bibb County,22915,8,6,3,349.12,261.84,130.92
5,50,3,6,1,9,1009,Alabama,Blount County,57322,21,14,10,366.35,244.23,174.45
6,50,3,6,1,11,1011,Alabama,Bullock County,10914,18,7,14,1649.26,641.38,1282.76
7,50,3,6,1,13,1013,Alabama,Butler County,20947,25,10,10,1193.49,477.40,477.40
8,50,3,6,1,15,1015,Alabama,Calhoun County,118572,94,57,50,792.77,480.72,421.68
9,50,3,6,1,17,1017,Alabama,Chambers County,34215,22,7,19,642.99,204.59,555.31
10,50,3,6,1,19,1019,Alabama,Cherokee County,25989,14,12,5,538.69,461.73,192.39
11,50,3,6,1,21,1021,Alabama,Chilton County,43643,21,5,13,481.18,114.57,297.87
12,50,3,6,1,23,1023,Alabama,Choctaw County,13859,10,6,3,721.55,432.93,216.47
13,50,3,6,1,25,1025,Alabama,Clarke County,25833,2,4,1,77.42,154.84,38.71
14,50,3,6,1,27,1027,Alabama,Clay County,13932,1,2,0,71.78,143.55,0.00
15,50,3,6,1,29,1029,Alabama,Cleburne County,14972,8,2,3,534.33,133.58,200.37
16,50,3,6,1,31,1031,Alabama,Coffee County,49948,33,10,19,660.69,200.21,380.40
17,50,3,6,1,33,1033,Alabama,Colbert County,54428,40,17,16,734.92,312.34,293.97
18,50,3,6,1,35,1035,Alabama,Conecuh County,13228,4,1,0,302.39,75.60,0.00
19,50,3,6,1,37,1037,Alabama,Coosa County,11539,8,6,2,693.30,519.98,173.33
20,50,3,6,1,39,1039,Alabama,Covington County,37765,19,7,9,503.11,185.36,238.32
21,50,3,6,1,41,1041,Alabama,Crenshaw County,13906,8,3,4,575.29,215.73,287.65
22,50,3,6,1,43,1043,Alabama,Cullman County,80406,32,11,10,397.98,136.81,124.37
23,50,3,6,1,45,1045,Alabama,Dale County,50251,33,8,17,656.70,159.20,338.30
24,50,3,6,1,47,1047,Alabama,Dallas County,43820,140,47,107,3194.89,1072.57,2441.81
25,50,3,6,1,49,1049,Alabama,DeKalb County,71109,40,11,18,562.52,154.69,253.13
26,50,3,6,1,51,1051,Alabama,Elmore County,79303,43,16,21,542.22,201.76,264.81
27,50,3,6,1,53,1053,Alabama,Escambia County,38319,28,15,9,730.71,391.45,234.87
28,50,3,6,1,55,1055,Alabama,Etowah County,104430,75,21,35,718.18,201.09,335.15
29,50,3,6,1,57,1057,Alabama,Fayette County,17241,1,0,1,58.00,0.00,58.00
30,50,3,6,1,59,1059,Alabama,Franklin County,31704,21,5,6,662.38,157.71,189.25
31,50,3,6,1,61,1061,Alabama,Geneva County,26790,11,4,7,410.60,149.31,261.29
32,50,3,6,1,63,1063,Alabama,Greene County,9045,8,5,13,884.47,552.79,1437.26
33,50,3,6,1,65,1065,Alabama,Hale County,15760,9,8,2,571.07,507.61,126.90
34,50,3,6,1,67,1067,Alabama,Henry County,17302,4,1,2,231.19,57.80,115.59
35,50,3,6,1,69,1069,Alabama,Houston County,101547,88,25,50,866.59,246.19,492.38
36,50,3,6,1,71,1071,Alabama,Jackson County,53227,23,8,10,432.11,150.30,187.87
37,50,3,6,1,73,1073,Alabama,Jefferson County,658466,1429,534,856,2170.20,810.98,1299.99
38,50,3,6,1,75,1075,Alabama,Lamar County,14564,2,1,1,137.32,68.66,68.66
39,50,3,6,1,77,1077,Alabama,Lauderdale County,92709,55,13,36,593.25,140.22,388.31
40,50,3,6,1,79,1079,Alabama,Lawrence County,34339,11,7,6,320.34,203.85,174.73
41,50,3,6,1,81,1081,Alabama,Lee County,140247,130,56,54,926.94,399.30,385.03
42,50,3,6,1,83,1083,Alabama,Limestone County,82782,83,18,36,1002.63,217.44,434.88
43,50,3,6,1,85,1085,Alabama,Lowndes County,11299,8,5,3,708.03,442.52,265.51
44,50,3,6,1,87,1087,Alabama,Macon County,21452,27,18,12,1258.62,839.08,559.39
45,50,3,6,1,89,1089,Alabama,Madison County,334811,591,97,301,1765.17,289.72,899.01
46,50,3,6,1,91,1091,Alabama,Marengo County,21027,12,4,3,570.69,190.23,142.67
47,50,3,6,1,93,1093,Alabama,Marion County,30776,6,4,1,194.96,129.97,32.49
48,50,3,6,1,95,1095,Alabama,Marshall County,93019,51,13,21,548.28,139.76,225.76
49,50,3,6,1,97,1097,Alabama,Mobile County,412992,702,226,370,1699.79,547.23,895.90
50,50,3,6,1,99,1099,Alabama,Monroe County,23068,3,0,1,130.05,0.00,43.35
51,50,3,6,1,101,1101,Alabama,Montgomery County,229363,493,174,322,2149.43,758.62,1403.89
52,50,3,6,1,103,1103,Alabama,Morgan County,119490,124,35,56,1037.74,292.91,468.66
53,50,3,6,1,105,1105,Alabama,Perry County,10591,9,3,3,849.78,283.26,283.26
54,50,3,6,1,107,1107,Alabama,Pickens County,19746,6,3,5,303.86,151.93,253.22
55,50,3,6,1,109,1109,Alabama,Pike County,32899,36,9,24,1094.26,273.56,729.51
56,50,3,6,1,111,1111,Alabama,Randolph County,22913,5,3,5,218.22,130.93,218.22
57,50,3,6,1,113,1113,Alabama,Russell County,52947,55,35,39,1038.77,661.04,736.59
58,50,3,6,1,115,1115,Alabama,St. Clair County,83593,20,9,7,239.25,107.66,83.74
59,50,3,6,1,117,1117,Alabama,Shelby County,195085,55,13,20,281.93,66.64,102.52
60,50,3,6,1,119,1119,Alabama,Sumter County,13763,12,11,8,871.90,799.24,581.27
