SUMLEV,REGION,DIVISION,STATE,COUNTY,county_fips,STNAME,CTYNAME,CENSUS2010POP,Gun-Incidents,Gun-Deaths,Gun-Injuries
40,3,6,1,0,01000,Alabama,Alabama,4779736,0,0,0
50,3,6,1,1,01001,Alabama,Autauga County,54571,0,0,0
50,3,6,1,3,01003,Alabama,Baldwin County,182265,0,0,0
50,3,6,1,5,01005,Alabama,Barbour County,27457,0,0,0
50,3,6,1,7,01007,Alabama,Bibb County,22915,0,0,0
50,3,6,1,9,01009,Alabama,Blount County,57322,0,0,0
50,3,6,1,11,01011,Alabama,Bullock County,10914,0,0,0
50,3,6,1,13,01013,Alabama,Butler County,20947,0,0,0
50,3,6,1,15,01015,Alabama,Calhoun County,118572,0,0,0
50,3,6,1,17,01017,Alabama,Chambers County,34215,0,0,0
50,3,6,1,19,01019,Alabama,Cherokee County,25989,0,0,0
50,3,6,1,21,01021,Alabama,Chilton County,43643,0,0,0
50,3,6,1,23,01023,Alabama,Choctaw County,13859,0,0,0
50,3,6,1,25,01025,Alabama,Clarke County,25833,0,0,0
50,3,6,1,27,01027,Alabama,Clay County,13932,0,0,0
50,3,6,1,29,01029,Alabama,Cleburne County,14972,0,0,0
50,3,6,1,31,01031,Alabama,Coffee County,49948,0,0,0
50,3,6,1,33,01033,Alabama,Colbert County,54428,0,0,0
50,3,6,1,35,01035,Alabama,Conecuh County,13228,0,0,0
50,3,6,1,37,01037,Alabama,Coosa County,11539,0,0,0
50,3,6,1,39,01039,Alabama,Covington County,37765,0,0,0
50,3,6,1,41,01041,Alabama,Crenshaw County,13906,0,0,0
50,3,6,1,43,01043,Alabama,Cullman County,80406,0,0,0
50,3,6,1,45,01045,Alabama,Dale County,50251,0,0,0
50,3,6,1,47,01047,Alabama,Dallas County,43820,0,0,0
50,3,6,1,49,01049,Alabama,DeKalb County,71109,0,0,0
50,3,6,1,51,01051,Alabama,Elmore County,79303,0,0,0
50,3,6,1,53,01053,Alabama,Escambia County,38319,0,0,0
50,3,6,1,55,01055,Alabama,Etowah County,104430,0,0,0
50,3,6,1,57,01057,Alabama,Fayette County,17241,0,0,0
50,3,6,1,59,01059,Alabama,Franklin County,31704,0,0,0
50,3,6,1,61,01061,Alabama,Geneva County,26790,0,0,0
50,3,6,1,63,01063,Alabama,Greene County,9045,0,0,0
50,3,6,1,65,01065,Alabama,Hale County,15760,0,0,0
50,3,6,1,67,01067,Alabama,Henry County,17302,0,0,0
50,3,6,1,69,01069,Alabama,Houston County,101547,0,0,0
50,3,6,1,71,01071,Alabama,Jackson County,53227,0,0,0
50,3,6,1,73,01073,Alabama,Jefferson County,658466,0,0,0
50,3,6,1,75,01075,Alabama,Lamar County,14564,0,0,0
50,3,6,1,77,01077,Alabama,Lauderdale County,92709,0,0,0
50,3,6,1,79,01079,Alabama,Lawrence County,34339,0,0,0
50,3,6,1,81,01081,Alabama,Lee County,140247,0,0,0
50,3,6,1,83,01083,Alabama,Limestone County,82782,0,0,0
50,3,6,1,85,01085,Alabama,Lowndes County,11299,0,0,0
50,3,6,1,87,01087,Alabama,Macon County,21452,0,0,0
50,3,6,1,89,01089,Alabama,Madison County,334811,0,0,0
50,3,6,1,91,01091,Alabama,Marengo County,21027,0,0,0
50,3,6,1,93,01093,Alabama,Marion County,30776,0,0,0
50,3,6,1,95,01095,Alabama,Marshall County,93019,0,0,0
50,3,6,1,97,01097,Alabama,Mobile County,412992,0,0,0
50,3,6,1,99,01099,Alabama,Monroe County,23068,0,0,0
50,3,6,1,101,01101,Alabama,Montgomery County,229363,0,0,0
50,3,6,1,103,01103,Alabama,Morgan County,119490,0,0,0
50,3,6,1,105,01105,Alabama,Perry County,10591,0,0,0
50,3,6,1,107,01107,Alabama,Pickens County,19746,0,0,0
50,3,6,1,109,01109,Alabama,Pike County,32899,0,0,0
50,3,6,1,111,01111,Alabama,Randolph County,22913,0,0,0
50,3,6,1,113,01113,Alabama,Russell County,52947,0,0,0
50,3,6,1,115,01115,Alabama,St. Clair County,83593,0,0,0
50,3,6,1,117,01117,Alabama,Shelby County,195085,0,0,0
50,3,6,1,119,01119,Alabama,Sumter County,13763,0,0,0
50,3,6,1,121,01121,Alabama,Talladega County,82291,0,0,0
50,3,6,1,123,01123,Alabama,Tallapoosa County,41616,0,0,0
50,3,6,1,125,01125,Alabama,Tuscaloosa County,194656,0,0,0
50,3,6,1,127,01127,Alabama,Walker County,67023,0,0,0
50,3,6,1,129,01129,Alabama,Washington County,17581,0,0,0
50,3,6,1,131,01131,Alabama,Wilcox County,11670,0,0,0
50,3,6,1,133,01133,Alabama,Winston County,24484,0,0,0
40,4,9,2,0,02000,Alaska,Alaska,710231,0,0,0
50,4,9,2,13,02013,Alaska,Aleutians East Borough,3141,0,0,0
50,4,9,2,16,02016,Alaska,Aleutians West Census Area,5561,0,0,0
50,4,9,2,20,02020,Alaska,Anchorage Municipality,291826,0,0,0
50,4,9,2,50,02050,Alaska,Bethel Census Area,17013,0,0,0
50,4,9,2,60,02060,Alaska,Bristol Bay Borough,997,0,0,0
50,4,9,2,68,02068,Alaska,Denali Borough,1826,0,0,0
50,4,9,2,70,02070,Alaska,Dillingham Census Area,4847,0,0,0
50,4,9,2,90,02090,Alaska,Fairbanks North Star Borough,97581,0,0,0
50,4,9,2,100,02100,Alaska,Haines Borough,2508,0,0,0
50,4,9,2,105,02105,Alaska,Hoonah-Angoon Census Area,2150,0,0,0
50,4,9,2,110,02110,Alaska,Juneau City and Borough,31275,0,0,0
50,4,9,2,122,02122,Alaska,Kenai Peninsula Borough,55400,0,0,0
50,4,9,2,130,02130,Alaska,Ketchikan Gateway Borough,13477,0,0,0
50,4,9,2,150,02150,Alaska,Kodiak Island Borough,13592,0,0,0
50,4,9,2,158,02158,Alaska,Kusilvak Census Area,7459,0,0,0
50,4,9,2,164,02164,Alaska,Lake and Peninsula Borough,1631,0,0,0
50,4,9,2,170,02170,Alaska,Matanuska-Susitna Borough,88995,0,0,0
50,4,9,2,180,02180,Alaska,Nome Census Area,9492,0,0,0
50,4,9,2,185,02185,Alaska,North Slope Borough,9430,0,0,0
50,4,9,2,188,02188,Alaska,Northwest Arctic Borough,7523,0,0,0
50,4,9,2,195,02195,Alaska,Petersburg Borough,3815,0,0,0
50,4,9,2,198,02198,Alaska,Prince of Wales-Hyder Census Area,5559,0,0,0
